,text,_score,_pvalue
2007,vị_trí,183.4737722438494,8.452671465103082e-42
589,giá,148.38892934957005,3.900441129753287e-34
591,giá_cả,105.08647589528023,1.169202142004153e-24
2223,đẹp,82.87676593181166,8.733166795844159e-20
1489,resort,81.17448691053451,2.066425891639484e-19
1783,trung_tâm,79.84427114087889,4.0511316878841416e-19
1067,miễn_phí,77.69984195466158,1.1995094301828862e-18
780,hợp_lý,64.60523295681823,9.15119988215872e-16
2214,đắt,53.47340425531915,2.621174570025522e-13
59,alma,50.37623658440055,1.26921847845677e-12
1352,oasis,44.8468774566105,2.1306036355208472e-11
946,long,42.274583272485614,7.931669950224734e-11
741,hải,42.274583272485614,7.931669950224734e-11
1535,spa,40.89565962632093,1.6057737427299511e-10
813,khung_cảnh,36.87830661060211,1.2573722238857446e-09
820,khuôn_viên,34.262280138669304,4.816267160874572e-09
2077,yên_tĩnh,34.0812251866022,5.285882619139906e-09
1654,thành_phố,32.97577632431094,9.331431035734874e-09
251,cao,29.707446808510642,5.024144888484031e-08
1335,nằm,29.25860183932957,6.333444252272585e-08
1128,mắc,26.736702127659576,2.3315070049381215e-07
1742,tiền,26.736702127659576,2.3315070049381215e-07
1410,phù_hợp,26.34164757900151,2.8605327609180696e-07
1267,nhân_viên,25.610306275160493,4.1780191188072643e-07
1651,thuận_lợi,23.765957446808514,1.0878966280782002e-06
466,cảnh_quan,23.731865060735053,1.10733862123362e-06
806,khu,23.17231193292571,1.4811462836337322e-06
1952,view,19.56675613476731,9.714493911519838e-06
1162,mức_giá,14.853723404255321,0.00011617849782140668
1462,quán_ăn,14.853723404255321,0.00011617849782140668
101,biển,14.547800976632363,0.00013664804651950262
1375,phong_cảnh,14.541127099162793,0.0001371329434430517
859,không_khí,13.212550344874293,0.00027808071653794177
1429,phục_vụ,12.991621932176832,0.00031288782145887014
154,bãi_biển,12.7943794847793,0.00034766227982025566
1234,nha_trang,12.14299673529135,0.0004927253889181069
2257,đồi,11.882978723404257,0.0005664926950417014
1443,quang_cảnh,11.882978723404257,0.0005664926950417014
2024,xa,11.882978723404257,0.0005664926950417014
409,cây_xanh,10.95945954526118,0.0009312697472727405
1652,thuận_tiện,10.95945954526118,0.0009312697472727405
2119,đi_bộ,10.76753882613637,0.0010329577489114705
1424,phố,10.76753882613637,0.0010329577489114705
1249,nhiệt_tình,10.590577235484757,0.0011366548302737688
716,hơi,10.186603276955628,0.0014146466534906547
1663,thích_hợp,9.436299858092537,0.002127322569669711
1425,phố_cổ,8.912234042553193,0.0028326651994294533
315,chăm_chút,8.912234042553193,0.0028326651994294533
1625,tham_quan,8.912234042553193,0.0028326651994294533
420,có_ăn,8.912234042553193,0.0028326651994294533
393,cách_xa,8.912234042553193,0.0028326651994294533
230,bờ,8.912234042553193,0.0028326651994294533
1908,tầm_nhìn,8.912234042553193,0.0028326651994294533
1814,trả,8.912234042553193,0.0028326651994294533
1680,thương_mại,8.912234042553193,0.0028326651994294533
989,lãng_mạn,8.632031302760746,0.0033030306126327147
1655,thái_độ,8.003611346983051,0.004668414993423677
1120,mũi,7.973706165831732,0.0047461666425453065
1514,rẻ,7.973706165831732,0.0047461666425453065
383,courtyard,7.94501153763473,0.004822011064859428
773,hội,7.94501153763473,0.004822011064859428
482,cổ,7.94501153763473,0.004822011064859428
65,amiana,7.5253380712824125,0.006083713668878333
1041,lịch_sự,6.732318710832587,0.009468144287946203
1299,niềm_nở,6.3957027752909585,0.011439693406722925
335,chậm,6.3957027752909585,0.011439693406722925
1846,tuyệt_đối,5.9414893617021285,0.014788516861651908
1123,mướt,5.9414893617021285,0.014788516861651908
805,khoản_tiền,5.9414893617021285,0.014788516861651908
1368,phan_đình_phùng,5.9414893617021285,0.014788516861651908
105,biệt_lập,5.9414893617021285,0.014788516861651908
1942,từ_vị_trí,5.9414893617021285,0.014788516861651908
485,cộng,5.9414893617021285,0.014788516861651908
112,bufet,5.9414893617021285,0.014788516861651908
2238,địa_thế,5.9414893617021285,0.014788516861651908
1882,túi_tiền,5.9414893617021285,0.014788516861651908
203,bề_mặt,5.9414893617021285,0.014788516861651908
2234,để_ý,5.9414893617021285,0.014788516861651908
1685,thảm,5.9414893617021285,0.014788516861651908
779,hợp_lí,5.9414893617021285,0.014788516861651908
532,dường_như,5.9414893617021285,0.014788516861651908
1324,nước_mặn,5.9414893617021285,0.014788516861651908
1536,springs,5.9414893617021285,0.014788516861651908
1168,ngay_cạnh,5.9414893617021285,0.014788516861651908
1178,nghiệm,5.9414893617021285,0.014788516861651908
146,bánh_bèo,5.9414893617021285,0.014788516861651908
1629,thanh_tân,5.9414893617021285,0.014788516861651908
708,hòa,5.9414893617021285,0.014788516861651908
1995,vắng,5.9414893617021285,0.014788516861651908
1998,vẻ,5.9414893617021285,0.014788516861651908
1632,thiên,5.9414893617021285,0.014788516861651908
673,hoang_sơ,5.9414893617021285,0.014788516861651908
396,cám_ơn,5.9414893617021285,0.014788516861651908
1765,trang,5.9414893617021285,0.014788516861651908
1242,nhiên,5.9414893617021285,0.014788516861651908
1614,sự_tiếp_đón,5.9414893617021285,0.014788516861651908
24,200k,5.9414893617021285,0.014788516861651908
1245,nhiều,5.9414893617021285,0.014788516861651908
1000,lúc_nào,5.9414893617021285,0.014788516861651908
440,cũng,5.9414893617021285,0.014788516861651908
