,text,_score,_pvalue
1768,trang_thiết_bị,105.07948169331513,1.1733364550368646e-24
2023,wifi,88.2214765100671,5.852105973358381e-21
2209,đầy_đủ,86.97354324463925,1.099826341098228e-20
1348,nội_thất,86.66982425173602,1.2823864296808828e-20
436,cũ,82.84911833257075,8.856174297729104e-20
1635,thiết_bị,80.20134228187919,3.3813742297129427e-19
1751,tiện_nghi,56.27033997705981,6.31610514368042e-14
791,internet,52.13087248322149,5.192215668561773e-13
1090,máy_lạnh,52.13087248322149,5.192215668561773e-13
2080,yếu,52.13087248322149,5.192215668561773e-13
1392,phòng,48.414909977365966,3.449355836919176e-12
1267,nhân_viên,45.58303491502914,1.463032720889034e-11
728,hư,44.11073825503355,3.1031391882727603e-11
1992,vật_chất,40.100671140939596,2.4120610053216606e-10
1978,vòi,40.100671140939596,2.4120610053216606e-10
2250,đồ_dùng,40.100671140939596,2.4120610053216606e-10
758,hỏng,36.09060402684563,1.883528522886522e-09
2161,đèn,36.09060402684563,1.883528522886522e-09
446,cơ_sở,36.09060402684563,1.883528522886522e-09
598,giường,34.65964398130301,3.9268833977547475e-09
1729,tivi,34.65964398130301,3.9268833977547475e-09
223,bồn_tắm,30.33997641178287,3.625757588848861e-08
1766,trang_bị,30.16701674576208,3.963938054659912e-08
1403,phòng_tắm,26.26968122719996,2.9691347505568123e-07
1249,nhiệt_tình,26.22901713421883,3.032317164895121e-07
1868,tín_hiệu,24.06040268456376,9.336051812523754e-07
2139,điện_thoại,24.06040268456376,9.336051812523754e-07
1660,thân_thiện,22.903773731814226,1.703171474192557e-06
2002,vệ_sinh,20.482734735521795,6.017157683787646e-06
1937,tủ,20.050335570469798,7.54302951319877e-06
649,gội,20.050335570469798,7.54302951319877e-06
1528,sen,20.050335570469798,7.54302951319877e-06
197,bật,20.050335570469798,7.54302951319877e-06
666,hiện_đại,18.990186248631037,1.3139250477245418e-05
1429,phục_vụ,18.895687072218333,1.3806445819033736e-05
1769,trang_trí,18.173753695687928,2.0163860233161342e-05
2248,đồ,17.21783899036012,3.332919682304245e-05
1192,ngon,17.07266557742133,3.597640695448285e-05
1785,truyền,16.040268456375838,6.200950756698274e-05
868,khăn_tắm,16.040268456375838,6.200950756698274e-05
538,dầu,16.040268456375838,6.200950756698274e-05
839,khó,15.673764005503916,7.526093371733755e-05
1160,mở,15.673764005503916,7.526093371733755e-05
498,cửa,15.673764005503916,7.526093371733755e-05
1588,sử_dụng,15.37086419926427,8.834000048489066e-05
1755,toilet,15.169988205891435,9.825266455062129e-05
1015,lạnh,15.08350837288104,0.00010285797818122304
2256,đồ_đạc,15.08350837288104,0.00010285797818122304
1524,sang_trọng,14.602174150802012,0.00013276128657408918
1637,thiếu,14.27591911363218,0.00015787170349503146
760,hồ,13.364612105667216,0.0002564169411835667
823,khá_tốt,13.13484061359998,0.0002898549318855359
1712,thức_ăn,12.084158131585204,0.000508520579256226
1891,tường,12.03020134228188,0.0005234542169561813
318,chăn,12.03020134228188,0.0005234542169561813
1393,phòng_bị,12.03020134228188,0.0005234542169561813
576,ghi,12.03020134228188,0.0005234542169561813
1620,tay,12.03020134228188,0.0005234542169561813
886,kiểu_cổ,12.03020134228188,0.0005234542169561813
1831,trống,12.03020134228188,0.0005234542169561813
329,chảy_nước,12.03020134228188,0.0005234542169561813
706,hình_ảnh,12.03020134228188,0.0005234542169561813
1079,màn,12.03020134228188,0.0005234542169561813
1988,vải,12.03020134228188,0.0005234542169561813
1516,rỉ_sét,12.03020134228188,0.0005234542169561813
926,lau_chùi,12.03020134228188,0.0005234542169561813
1938,tủ_lạnh,12.03020134228188,0.0005234542169561813
429,công_tắc,12.03020134228188,0.0005234542169561813
2050,xài,12.03020134228188,0.0005234542169561813
1094,máy_sấy_tóc,12.03020134228188,0.0005234542169561813
1519,rửa,12.03020134228188,0.0005234542169561813
222,bồn,12.03020134228188,0.0005234542169561813
755,hệ_thống,11.60702391315685,0.0006570320619861408
1572,sảnh,11.60702391315685,0.0006570320619861408
2046,xuống_cấp,11.60702391315685,0.0006570320619861408
531,dơ,11.282089242088116,0.0007825843613687377
1087,máy,11.282089242088116,0.0007825843613687377
1810,trước_khi,11.282089242088116,0.0007825843613687377
282,chu_đáo,10.74005453515156,0.0010484124480770716
1254,nhà_hàng,10.74005453515156,0.0010484124480770716
1969,vui_vẻ,10.723012552301258,0.0010581125877739386
1290,nhỏ,10.581949886026909,0.0011419714866208546
1315,nóng,9.062003664598016,0.002609758400858131
1920,tắm,9.062003664598016,0.002609758400858131
1105,món,8.435152390124005,0.003680360376595145
629,góp_ý,8.193093894208719,0.004205015065272059
1548,sàn_gỗ,8.020134228187919,0.00462601416380236
2047,xà_bông,8.020134228187919,0.00462601416380236
