,text,_score,_pvalue
1267,nhân_viên,525.1672917327504,3.1793601386209985e-116
1429,phục_vụ,273.5217465837067,1.93810806876728e-61
1249,nhiệt_tình,223.91250000000002,1.2676545604176108e-50
1660,thân_thiện,196.02792969047363,1.5369831237935134e-44
550,dịch_vụ,165.94871401066587,5.676347699322492e-38
282,chu_đáo,94.83751502990953,2.066715832669927e-22
1930,tốt,72.61777587311539,1.573553421401133e-17
287,chuyên_nghiệp,58.06343708687735,2.5379991769652555e-14
1969,vui_vẻ,57.31093750000001,3.7208028809244606e-14
1655,thái_độ,50.646874999999994,1.105723669604933e-12
697,hài_lòng,38.90020543768752,4.460336637238395e-10
1038,lễ_tân,31.987499999999997,1.5516783251372085e-08
827,khách,31.391015188607675,2.109548575724718e-08
1392,phòng,29.974428287198243,4.377817118812948e-08
1916,tận_tình,27.989062500000003,1.2200308412244308e-07
2269,đội_ngũ,26.656250000000007,2.430632668587561e-07
549,dễ_thương,25.95004508972856,3.503672542078089e-07
1299,niềm_nở,25.323437499999997,4.847823141336142e-07
1105,món,24.378353459459696,7.915311638397389e-07
2087,ân_cần,22.657812500000002,1.9357154989850363e-06
1041,lịch_sự,22.194780279161783,2.4634260914303045e-06
2223,đẹp,19.537222500008447,9.865841440589077e-06
1517,rộng,18.35307880364853,1.835221809294724e-05
1518,rộng_rãi,16.343363496482997,5.2840875645617195e-05
464,cảm_ơn,15.993749999999999,6.355194093602505e-05
1636,thiết_kế,15.350101413460514,8.931613354985733e-05
1739,tiếp_tân,14.6609375,0.000128685726029443
386,cung_cấp,14.6609375,0.000128685726029443
1192,ngon,14.10287105683422,0.000173079399839334
2254,đồ_ăn,14.03426963729513,0.00017950911285872706
1751,tiện_nghi,13.870186988513389,0.00019588120494790618
284,chudu24,13.628906333262282,0.000222729584037332
1639,thoáng,13.191457373041672,0.0002812281137090536
1290,nhỏ,12.189635047657879,0.0004805578406680487
1472,quản_lý,11.9953125,0.00053334532158631
2078,yêu_cầu,11.749765655529503,0.000608508993068504
334,chất_lượng,11.6186843673273,0.0006529256970284466
1335,nằm,11.117189942360298,0.0008553127440360447
2109,đa_dạng,10.96988270886037,0.0009260462144810929
2092,ít,10.96325306109157,0.0009293652006024116
1952,view,10.795340950899206,0.0010175586970637186
1350,nụ_cười,10.6625,0.0010932952158867447
1570,sạch_sẽ,10.625725477417163,0.0011152520687765627
