,text,_score,_pvalue
1392,phòng,400.1807275561571,5.0302846079631176e-89
2223,đẹp,169.41763459356002,9.916585235695818e-39
1406,phòng_ốc,132.83371013527633,9.831100862280215e-31
1570,sạch_sẽ,110.65532598471734,7.040692386239675e-26
1518,rộng_rãi,69.42166933648588,7.951030530409557e-17
1751,tiện_nghi,51.703364334845,6.455204143674596e-13
1636,thiết_kế,43.43369807217866,4.3857011397101143e-11
1267,nhân_viên,40.41394564016393,2.0546926799981555e-10
666,hiện_đại,33.415076622996224,7.444461901316249e-09
1403,phòng_tắm,30.670745382061085,3.057401312106358e-08
1640,thoáng_mát,30.670745382061085,3.057401312106358e-08
1192,ngon,27.565458402679532,1.51866747026048e-07
1524,sang_trọng,26.8663862884564,2.1801795283242089e-07
1290,nhỏ,24.997946807528834,5.739139740431415e-07
1517,rộng,24.44267089305454,7.655418209555601e-07
1429,phục_vụ,24.34749936607919,8.043108608850501e-07
1402,phòng_ngủ,24.21796433241952,8.602612170427864e-07
1489,resort,22.269837119378725,2.3689870653740808e-06
106,biệt_thự,21.722272843771634,3.151114027390937e-06
1639,thoáng,21.71684903608933,3.1600356991364395e-06
1075,muỗi,19.486818980667838,1.012962704747641e-05
1348,nội_thất,19.418209696404524,1.0500110587219479e-05
820,khuôn_viên,18.598226173357983,1.6137063188523338e-05
1952,view,17.90277477635852,2.3248190750008435e-05
1983,vườn,17.789654869776637,2.467210768214194e-05
1249,nhiệt_tình,17.094931643105124,3.555706904537377e-05
2209,đầy_đủ,16.76506609702807,4.230501247922209e-05
1769,trang_trí,16.340970046217347,5.290765208499811e-05
1352,oasis,16.22349659476197,5.629158362508025e-05
219,bố_trí,16.1890483564473,5.732456918990326e-05
59,alma,15.557035963450724,8.00531673010943e-05
946,long,14.984733148287631,0.0001083844991888435
741,hải,14.984733148287631,0.0001083844991888435
1105,món,13.871016240814907,0.0001957947905248253
855,không_gian,13.767977595256028,0.00020683187070660088
1712,thức_ăn,13.367815022983818,0.000255979403712796
1405,phòng_đẹp,13.000541730730259,0.0003114008727014494
1655,thái_độ,12.259163846667313,0.00046297891614142575
95,beach,12.172734196090962,0.00048493169977209755
282,chu_đáo,11.78835246475844,0.0005960246013914528
1254,nhà_hàng,11.78835246475844,0.0005960246013914528
2160,đãng,11.415182898530878,0.000728463251033654
1067,miễn_phí,11.091228673038863,0.000867369970746643
1660,thân_thiện,10.674810104000636,0.0010860433665264599
1969,vui_vẻ,10.639345167985784,0.0011070686608742125
237,bữa_sáng,10.625903000754182,0.001115145011013555
2026,xanh,10.605422421405056,0.0011275649420635732
436,cũ,10.195402653791986,0.0014079121470680623
1535,spa,10.179432812517168,0.0014201586014361098
101,biển,10.142063418095931,0.0014492384813352308
1645,thoải_mái,10.125111307970492,0.001462628256378025
1187,nghỉ,10.087342084541117,0.0014929128869208014
115,buffet,9.858999115132322,0.0016900302446466316
2101,ăn,9.858999115132322,0.0016900302446466316
881,kiến_trúc,9.838389121781038,0.001709071001592815
1116,mùi,9.743409490333919,0.001799667811668148
834,khánh,9.743409490333919,0.001799667811668148
509,deluxe,9.743409490333919,0.001799667811668148
2269,đội_ngũ,9.296400706791744,0.002296045184052075
176,bơi,8.599580685445611,0.0033624041104849387
2199,đạt,8.273372296274317,0.004023071267485657
2077,yên_tĩnh,8.164403304592861,0.00427205262832905
1396,phòng_khách,8.119507908611599,0.004379144394750291
433,căn_hộ,8.119507908611599,0.004379144394750291
434,căn_phòng,8.119507908611599,0.004379144394750291
1043,lối,8.119507908611599,0.004379144394750291
2062,xấu,8.119507908611599,0.004379144394750291
1383,pháp,8.119507908611599,0.004379144394750291
760,hồ,7.944240809779517,0.004824065160861111
827,khách,7.662579890559837,0.005637783097632097
52,agribank,7.439290469343193,0.006381504422113219
287,chuyên_nghiệp,7.164946347573576,0.007434191420664077
409,cây_xanh,6.9231863259763085,0.008508523871376045
1766,trang_bị,6.9231863259763085,0.008508523871376045
2254,đồ_ăn,6.888463432451854,0.008675380994708649
778,hợp_khẩu_vị,6.773809523809524,0.009250517205773676
2204,đầu_bếp,6.773809523809524,0.009250517205773676
1086,mát_mẻ,6.725179686829197,0.009506115348572371
2144,đà_lạt,6.725179686829197,0.009506115348572371
755,hệ_thống,6.725179686829197,0.009506115348572371
1376,phong_phú,6.721827284217442,0.00952399990844462
668,hoa,6.588783716074702,0.010262326115328894
2281,ấm_cúng,6.588783716074702,0.010262326115328894
1642,thoát,6.495606326889279,0.010814140855642694
696,hài_hòa,6.495606326889279,0.010814140855642694
2230,đề_nghị,6.495606326889279,0.010814140855642694
1443,quang_cảnh,6.495606326889279,0.010814140855642694
1767,trang_nhã,6.495606326889279,0.010814140855642694
223,bồn_tắm,6.367944564588896,0.011620011192726239
1108,món_ăn,6.258087782165111,0.0123627574070491
591,giá_cả,6.2462055141848865,0.01244596430434959
240,bữa_ăn,6.158008658008658,0.013081840225849276
1731,tiêu_chuẩn,6.130680486765723,0.01328557263944328
1631,thay_đổi,6.129581923333657,0.013293830342261035
829,khách_hàng,6.129581923333657,0.013293830342261035
806,khu,6.09398123844521,0.013564310909772719
465,cảnh,6.003820107510793,0.0142749368334678
2070,xứng_đáng,6.003820107510793,0.0142749368334678
2042,xung_quanh,6.003820107510793,0.0142749368334678
583,gia_đình,5.80575188659547,0.0159738361468318
2300,ở_đây,5.660172693009618,0.017354414180350854
823,khá_tốt,5.588355365676023,0.01808026418034837
2214,đắt,5.563368220661717,0.018340095685262656
1005,lăng,5.337603228640135,0.020870148426173536
1727,tinh_tế,5.337603228640135,0.020870148426173536
1768,trang_thiết_bị,5.232724477367032,0.022165785991501673
1752,tiện_ích,5.202223401476478,0.022558016431842624
163,bên_trong,5.202223401476478,0.022558016431842624
550,dịch_vụ,5.14728763553456,0.023282714172377802
331,chấp_nhận,5.099940481311307,0.023926664465456913
832,khách_sạn,4.968664120151484,0.025810574921334716
2186,đơn_điệu,4.926406926406926,0.02644925725468931
1754,to,4.8717047451669595,0.027300518403121057
1079,màn,4.8717047451669595,0.027300518403121057
1955,village,4.8717047451669595,0.027300518403121057
2290,ốc,4.8717047451669595,0.027300518403121057
836,khánh_thành,4.8717047451669595,0.027300518403121057
2286,ẩm,4.8717047451669595,0.027300518403121057
1573,sắp_xếp,4.8717047451669595,0.027300518403121057
166,bình_an,4.8717047451669595,0.027300518403121057
1988,vải,4.8717047451669595,0.027300518403121057
1497,riêng_biệt,4.8717047451669595,0.027300518403121057
2053,xây,4.8717047451669595,0.027300518403121057
1814,trả,4.8717047451669595,0.027300518403121057
901,kì,4.8717047451669595,0.027300518403121057
1519,rửa,4.8717047451669595,0.027300518403121057
2072,xử_lý,4.8717047451669595,0.027300518403121057
2293,ồn_ào,4.8717047451669595,0.027300518403121057
222,bồn,4.8717047451669595,0.027300518403121057
408,cây_cối,4.8717047451669595,0.027300518403121057
727,hơn_nữa,4.8717047451669595,0.027300518403121057
835,khánh_lâm,4.8717047451669595,0.027300518403121057
339,chật_chội,4.8717047451669595,0.027300518403121057
1823,trẻ,4.8717047451669595,0.027300518403121057
1129,mắt,4.8717047451669595,0.027300518403121057
1935,tổng_thể,4.8717047451669595,0.027300518403121057
574,garden,4.8717047451669595,0.027300518403121057
1012,lạ,4.8717047451669595,0.027300518403121057
926,lau_chùi,4.8717047451669595,0.027300518403121057
503,cửa_sổ,4.8717047451669595,0.027300518403121057
1549,sàn_nhà,4.8717047451669595,0.027300518403121057
703,hình,4.8717047451669595,0.027300518403121057
2075,yên_bình,4.615457550650872,0.03168504107936556
675,hoi,4.615457550650872,0.03168504107936556
545,dễ,4.615457550650872,0.03168504107936556
1332,nấu_ăn,4.449536001491186,0.03491073100543575
505,dalat,4.311338529660146,0.037859161666823224
1160,mở,4.311338529660146,0.037859161666823224
498,cửa,4.311338529660146,0.037859161666823224
1791,trái_cây,4.3106060606060606,0.037875465735467184
523,duy_nhất,4.3106060606060606,0.037875465735467184
76,angsana,4.066503554609254,0.043741727417952785
1270,nhìn_chung,4.066503554609254,0.043741727417952785
386,cung_cấp,3.9276352874371727,0.04749869037585352
889,ko,3.9276352874371727,0.04749869037585352
1739,tiếp_tân,3.9276352874371727,0.04749869037585352
154,bãi_biển,3.882099789907974,0.04880348397221747
1234,nha_trang,3.778766887370497,0.05190690080819209
252,cao_cấp,3.7196452346715967,0.053775795572405
1230,ngồi,3.7196452346715967,0.053775795572405
1868,tín_hiệu,3.694805194805194,0.05458215570724609
1440,quan_tâm,3.694805194805194,0.05458215570724609
346,chế_biến,3.694805194805194,0.05458215570724609
411,còn_lại,3.694805194805194,0.05458215570724609
1293,nhờ,3.694805194805194,0.05458215570724609
2119,đi_bộ,3.694805194805194,0.05458215570724609
2148,đào_tạo,3.694805194805194,0.05458215570724609
2222,đặt,3.3918645911791785,0.06551881768866975
1954,villa,3.3918645911791785,0.06551881768866975
2134,điểm,3.369352214443854,0.06641986676125798
2028,xe,3.369352214443854,0.06641986676125798
1735,tiếng,3.350377171159245,0.06718961664212221
2046,xuống_cấp,3.294391858037351,0.06951684590285324
379,con_nhỏ,3.294391858037351,0.06951684590285324
773,hội,3.294391858037351,0.06951684590285324
1847,tuần,3.2478031634446394,0.07151925421208653
1826,trẻ_nhỏ,3.2478031634446394,0.07151925421208653
221,bốn_biển,3.2478031634446394,0.07151925421208653
1801,trí,3.2478031634446394,0.07151925421208653
1803,trông,3.2478031634446394,0.07151925421208653
1761,toàn_thể,3.2478031634446394,0.07151925421208653
1334,nắng,3.2478031634446394,0.07151925421208653
1260,nhà_vệ_sinh,3.2478031634446394,0.07151925421208653
353,chống,3.2478031634446394,0.07151925421208653
375,co,3.2478031634446394,0.07151925421208653
517,drap,3.2478031634446394,0.07151925421208653
1218,người_già,3.2478031634446394,0.07151925421208653
1834,trở_lại,3.2478031634446394,0.07151925421208653
1865,tình_trạng,3.2478031634446394,0.07151925421208653
1795,trên_cao,3.2478031634446394,0.07151925421208653
1013,lạ_mắt,3.2478031634446394,0.07151925421208653
2018,wc,3.2478031634446394,0.07151925421208653
1641,thoáng_đãng,3.2478031634446394,0.07151925421208653
1347,nội_bộ,3.2478031634446394,0.07151925421208653
